timestamp,app,title,duration,source
2026-08-04T13:31:39+08:00,md.obsidian,Obsidian,3.0,Mac
2026-08-04T13:31:42+08:00,com.apple.Terminal,Terminal,3.0,Mac
2026-08-04T13:31:45+08:00,md.obsidian,Obsidian,13.0,Mac
2026-08-04T13:31:58+08:00,com.google.Chrome,Chrome,1.0,Mac
2026-08-04T13:31:59+08:00,md.obsidian,Obsidian,1.0,Mac
2026-08-04T13:32:00+08:00,com.apple.finder,Finder,1.0,Mac
2026-08-04T13:32:01+08:00,md.obsidian,Obsidian,9.0,Mac
2026-08-04T13:32:10+08:00,com.google.Chrome,Chrome,3.0,Mac
2026-08-04T13:32:13+08:00,md.obsidian,Obsidian,3.0,Mac
2026-08-04T13:32:16+08:00,com.google.Chrome,Chrome,2.0,Mac
2026-08-04T13:32:18+08:00,md.obsidian,Obsidian,1.0,Mac
2026-08-04T13:32:19+08:00,com.google.Chrome,Chrome,7.0,Mac
2026-08-04T13:32:26+08:00,md.obsidian,Obsidian,29.0,Mac
2026-08-04T13:32:55+08:00,com.google.Chrome,Chrome,4.0,Mac
2026-08-04T13:32:59+08:00,md.obsidian,Obsidian,7.0,Mac
2026-08-04T13:33:06+08:00,com.google.Chrome,Chrome,5.0,Mac
2026-08-04T13:33:11+08:00,md.obsidian,Obsidian,30.0,Mac
2026-08-04T13:33:41+08:00,com.google.Chrome,Chrome,4.0,Mac
2026-08-04T13:33:45+08:00,md.obsidian,Obsidian,6.0,Mac
2026-08-04T13:33:51+08:00,md.obsidian,Obsidian,3.0,Mac
2026-08-04T13:33:51+08:00,com.apple.finder,Finder,0.0,Mac
2026-08-04T13:33:54+08:00,com.google.Chrome,Chrome,0.0,Mac
2026-08-04T13:33:54+08:00,md.obsidian,Obsidian,1.0,Mac
2026-08-04T13:33:55+08:00,com.apple.finder,Finder,1.0,Mac
2026-08-04T13:33:56+08:00,com.apple.TextEdit,Text Edit,22.0,Mac
2026-08-04T13:34:18+08:00,com.apple.finder,Finder,0.0,Mac
2026-08-04T13:34:18+08:00,com.apple.TextEdit,Text Edit,1.0,Mac
2026-08-04T13:34:19+08:00,com.google.Chrome,Chrome,1.0,Mac
2026-08-04T13:34:20+08:00,com.apple.TextEdit,Text Edit,1.0,Mac
2026-08-04T13:34:21+08:00,md.obsidian,Obsidian,14.0,Mac
2026-08-04T13:34:35+08:00,com.google.Chrome,Chrome,170.0,Mac
2026-08-04T13:37:25+08:00,md.obsidian,Obsidian,18.0,Mac
2026-08-04T13:37:43+08:00,com.youdao.YoudaoDict,Youdao Dict,8.0,Mac
2026-08-04T13:37:51+08:00,md.obsidian,Obsidian,13.0,Mac
2026-08-04T13:38:04+08:00,com.youdao.YoudaoDict,Youdao Dict,0.0,Mac
2026-08-04T13:38:04+08:00,md.obsidian,Obsidian,2.0,Mac
2026-08-04T13:38:06+08:00,com.google.Chrome,Chrome,1.0,Mac
2026-08-04T13:38:07+08:00,md.obsidian,Obsidian,1.0,Mac
2026-08-04T13:38:08+08:00,com.apple.TextEdit,Text Edit,0.0,Mac
2026-08-04T13:38:08+08:00,md.obsidian,Obsidian,2.0,Mac
2026-08-04T13:38:10+08:00,com.apple.finder,Finder,8.0,Mac
2026-08-04T13:38:18+08:00,md.obsidian,Obsidian,13.0,Mac
2026-08-04T13:38:31+08:00,com.apple.Terminal,Terminal,1.0,Mac
2026-08-04T13:38:32+08:00,md.obsidian,Obsidian,8.0,Mac
2026-08-04T13:38:40+08:00,com.apple.Terminal,Terminal,42.0,Mac
2026-08-04T13:39:22+08:00,md.obsidian,Obsidian,58.0,Mac
2026-08-04T13:40:20+08:00,com.apple.finder,Finder,2.0,Mac
2026-08-04T13:40:22+08:00,com.apple.TextEdit,Text Edit,35.0,Mac
2026-08-04T13:40:57+08:00,com.apple.finder,Finder,1.0,Mac
2026-08-04T13:40:58+08:00,md.obsidian,Obsidian,27.0,Mac
2026-08-04T13:41:25+08:00,com.apple.finder,Finder,1.0,Mac
2026-08-04T13:41:26+08:00,md.obsidian,Obsidian,0.0,Mac
2026-08-04T13:41:26+08:00,com.apple.TextEdit,Text Edit,10.0,Mac
2026-08-04T13:41:36+08:00,md.obsidian,Obsidian,113.0,Mac
2026-08-04T13:43:29+08:00,com.apple.TextEdit,Text Edit,3.0,Mac
2026-08-04T13:43:32+08:00,com.google.Chrome,Chrome,6.0,Mac
2026-08-04T14:10:12+08:00,com.google.Chrome,Chrome,42.0,Mac
2026-08-04T14:10:54+08:00,com.tencent.xinWeChat,Xin We Chat,150.0,Mac
2026-08-04T14:13:24+08:00,com.google.Chrome,Chrome,533.0,Mac
2026-08-04T14:22:17+08:00,com.apple.finder,Finder,48.0,Mac
2026-08-04T14:23:05+08:00,com.adobe.Acrobat.Pro,Pro,58.0,Mac
2026-08-04T14:24:03+08:00,md.obsidian,Obsidian,20.0,Mac
2026-08-04T14:24:23+08:00,com.tencent.xinWeChat,Xin We Chat,136.0,Mac
